Marko	Марко	1,nomo
decidi	вирішувати	9,radiko
italio	Італія	9,radiko
urbo	місто	9,radiko
feliĉa	щасливий	9,radiko
kie	де	9,tabelvorto
forgesi	забувати	9,radiko
esperi	сподіватися	9,radiko
us	умовний спосіб дієслова	9,finaĵo
komenci	починати	9,radiko
jam	вже	9,adverbo
vagono	вагон	9,radiko
ar	groupe сукупність	9,sufikso
nenio	нічого	9,tabelvorto
sekreto	секрет	9,radiko
onklo	дядько	9,radiko
Bonifacio	Боніфацій	9,nomo
plena	повний	9,radiko
um	не має окресленого значення	9,sufikso
sia	себе	9,radiko
uzi	користуватися, використовувати	9,radiko
domo	дім	9,radiko
ad	тривалість дії, процесу	9,sufikso
atendi	чекати	9,radiko
do	отже, отож, же, ж	9,adverbo
kial	чому	9,tabelvorto
neniam	ніколи	9,tabelvorto
kiel	як	10,tabelvorto
pasi	проходити, переходити, минати, спливати	10,radiko
naski	народжувати	10,radiko
kelka	якийсь певний (про число)	10,radiko
familio	родина, сім'я	10,radiko
an	член якого-нубудь колективу; житель міста, країни;	10,sufikso
iom	трохи, деяка кількість, якоюсь мірою	10,tabelvorto
trovi	знаходити	10,radiko
almenaŭ	принаймні, хоч	10,adverbo
ordo	порядок, лад	10,radiko
io	щось	10,tabelvorto
manki	бракувати, не вистачати, бути відсутнім	10,radiko
lakto	молоко	10,radiko
necesa	необхідний, потрібний	10,radiko
anstataŭ	замість	10,prepozicio
intereso	цікавити	10,radiko
ekskurso	екскурсія	10,radiko
klubo	клуб	10,radiko
ĵeti	кидати	10,radiko
ia	якийсь	10,tabelvorto
uj	предмет, у якому що-небудь зберігається, дерево, країна	10,sufikso
ĝusta	точний, правильний	10,radiko
for	геть, далеко	10,prefikso
inter	між, поміж, серед, посеред	10,prepozicio
sama	той самий	10,radiko
fojo	раз	10,radiko
rajti	право	10,radiko
proponi	пропонувати	10,radiko
du	два	10,cifero
parto	частина, частка	10,radiko
sukceso	успіх	10,radiko
iu	хтось	10,tabelvorto
ideo		10,novaj
tro	занадто, надто	10,adverbo
ec	властивість, якість	10,sufikso
reala	реальний	10,radiko
silento	мовчати	10,radiko
daŭri	продовжуватися	10,radiko
nu	ну	10,interjekcio
minuto	хвилина	10,radiko
telefono	телефон	10,radiko
viziti	відвідувати	10,radiko
dolĉa	солодкий	10,radiko
atenti	уважний	10,radiko
dika	товстий	10,radiko
ŝanĝi	міняти	10,radiko
opinii	думати, гадати, вважати, мати думку	10,radiko
sen	без	10,prepozicio
sola	єдиний, сам, самотній	10,radiko
Veneci	Венеція	11,radiko
Sankt-Mark	Святий Марко	11,nomo
placo	майдан, площа	11,radiko
milito	війна	11,radiko
maro	море	11,radiko
ŝipo	корабель	11,radiko
gondolo	ґондола	11,radiko
movi	рухати, пересувати, приводити в рух, ворушити	11,radiko
mezo	середній	11,radiko
proksima	близький, ближній	11,radiko
granda	великий	11,radiko
oni	неозначено-особовий займенник, відповідає 3-ій особі множини в безособових реченнях і зворотах	11,pronomo
facila	легкий	11,radiko
lumo	світло, сяйво, світило	11,radiko
flanko	сторона	11,radiko
Stefan	Стефан	11,nomo
krii	кричати	11,radiko
turko	турок	11,radiko
renkonti	зустрічати	11,radiko
sekvi	іти за	11,radiko
Pietro	Петро	11,nomo
koni	знати	11,radiko
akvo	вода	11,radiko
tiel	так	11,tabelvorto
Ĝorĝo	Георгій	11,nomo
preni	брати	11,radiko
estro	особа, яка керує, завідує предметом, зазначеним у корені	11,sufikso
preskaŭ	майже, сливе, трохи	11,adverbo
morti	смерть	11,radiko
grava	важливий	11,radiko
Ĝino	Джино	11,nomo
halti	зупинятися, cтавати, затримуватися	11,radiko
apud	коло, біля, поряд, поруч	11,prepozicio
dek	десять	11,cifero
jaro	рік	11,radiko
koloro	колір	11,radiko
Jakopo	Жак	11,nomo
tial	тому	11,tabelvorto
timi	боятись	11,radiko
sendi	посилати	11,radiko
doĝo	дож	11,radiko
bezoni	потребувати	11,radiko
pagi	платити	11,radiko
er	частка чого-небудь	11,sufikso
afero	справа, діло, заняття	11,radiko
se	якщо	11,konjunkcio
pano	хліб	11,radiko
Don Kamilo	Дон Камілло	11,nomo
ĝis	до	11,prepozicio
S-ro	пан	12,mallongigo
Pipelbom	Піпельбом	12,nomo
peza	важити	12,radiko
larĝa	широкий	12,radiko
korpo	тіло	12,radiko
aspekto	вигляд	12,radiko
rolo	роль	12,radiko
fakto	факт	12,radiko
respekti	поважати	12,radiko
kontenta	задоволений	12,radiko
ofte	часто	12,radiko
utila	корисний -придатний	12,radiko
prezenti	презентувати	12,radiko
ĝeni	турбувати, завдавати клопоту, надокучати, набридати	12,radiko
nokto	ніч	12,radiko
arbo	дерево	12,radiko
ĉefo	шеф	12,radiko
vojo	дорога	12,radiko
ekster	поза	12,prepozicio
sovaĝa	дикий	12,radiko
bruo	шуміти	12,radiko
krom	крім, опріч, окрім	12,prepozicio
tuŝi	торкатись	12,radiko
naturo	природа	12,radiko
ĝenerali	загальний, ґенеральний	12,radiko
seki	сухий	12,radiko
paŝi	ступати, крокувати, ходити	12,radiko
vivi	життя	12,radiko
dolori	боліти, викликати біль	12,radiko
agrabla	приємний	12,radiko
ju	чим	12,partikulo
kastelo	зáмок	12,radiko
des	тим	12,partikulo
Adriano	Адріян	12,nomo
viro	чоловік	12,radiko
kapabla	здатний	12,radiko
industrio	індустрія	12,radiko
polico	поліція	12,radiko
persono	особа	12,radiko
simila	схожий	12,radiko
lasta	останній	12,radiko
laŭta	голосний	12,radiko
orelo	вухо	12,radiko
momento	мить	12,radiko
ambaŭ	обидва, обоє, обидві	12,adverbo
direkti	направляти, спрямовувати	12,radiko
zorgi	турбуватись	12,radiko
situacio	ситуація	12,radiko
branĉo	гілка	12,radiko
rekta	прямий	12,radiko
besto	тварина	12,radiko
promeni	гуляти, прогулюватися	12,radiko
kavo	яма	12,radiko
odoro	пахнути	12,radiko
preta	готовий	12,radiko
ajn	би	12,partikulo
efektiva	ефективний, діючий, дійсний	12,radiko
miri	дивуватися	12,radiko
koro	серце	12,radiko
ŝajni	здаватися, видаватися	12,radiko
supri	верхній	12,radiko
buŝo	рот	12,radiko
provi	пробувати	12,radiko
kapti	ловити, піймати, хапати, схопити	12,radiko
lampo	лямпа	12,radiko
paco	мир	12,radiko
formo	форма, вигляд, постать	12,radiko
teni	тримати	12,radiko
sono	звук	12,radiko
aŭtoritato	авторитет	12,radiko
nuuuu	нарешті	12,interjekcio
eee	ех	12,interjekcio
fuŝi	робити що-небудь наспіх, халтурити, псувати	12,radiko
klara	ясний, зрозумілий	12,radiko
eĉ	навіть	12,adverbo
tono	тон, лад, звук	12,radiko
ha	а, ах	12,interjekcio
bieno	маєток	12,radiko
grafo	граф	12,radiko
monto	гора	12,radiko
kalva	лисий	12,radiko
inviti	запрошувати	12,radiko
peti	просити	12,radiko
teroro	терор	12,radiko
kontroli	контролювати	12,radiko
ĉirkaŭ	навколо	12,prepozicio
akcepti	приймати	12,radiko
perdi	губити, втрачати	12,radiko
