Marko	Marc	1,nomo
bieno	terreny, finca	12,radiko
grafo	comte	12,radiko
monto	muntanya	12,radiko
kalva	calv/a	12,radiko
inviti	invitar, convidar	12,radiko
peti	demanar	12,radiko
teroro	terror	12,radiko
kontroli	controlar, comprovar	12,radiko
ĉirkaŭ	al voltant de	12,prepozicio
akcepti	acceptar	12,radiko
perdi	perdre	12,radiko
