Marko	Marko	1,nomo
uzi	guna,kata akar	9,radiko
domo	rumah,kata akar	9,radiko
ad	aksi berdarut	9,sufikso
atendi	menunggu, kata akar	9,radiko
do	begitu	9,adverbo
kial	kenapa	9,tabelvorto
neniam	tidak pernah	9,tabelvorto
kiel	begaimana	10,tabelvorto
pasi	lulus,kata akar	10,radiko
naski	melahirkan,kata akar	10,radiko
kelka	beberapa,kata akar	10,radiko
familio	famili,kata akar	10,radiko
an	ahli kumpulan	10,sufikso
iom	sehingga satu tahap, jumlah tertentu	10,tabelvorto
trovi	cari,kata akar	10,radiko
almenaŭ	sekurang-kurangnya	10,adverbo
ordo	pesan,kata akar	10,radiko
io	sesuatu	10,tabelvorto
manki	mengurangkan sesuatu,kata akar	10,radiko
lakto	susu,kata akar	10,radiko
necesa	perlu,kata akar	10,radiko
anstataŭ	bukannya	10,prepozicio
intereso	manarik minat,kata akar	10,radiko
ekskurso	melancong,kata akar	10,radiko
klubo	klub,kata akar	10,radiko
ĵeti	membuang,kata akar	10,radiko
ia	beberapa jenis	10,tabelvorto
uj	bekas, pokok, negara	10,sufikso
ĝusta	membetul,kata akar	10,radiko
for	pergi dari	10,prefikso
inter	antara	10,prepozicio
sama	sama,kata akar	10,radiko
fojo	masa,kata akar, kali,kata akar	10,radiko
rajti	hak,kata akar	10,radiko
proponi	cadang,kata akar	10,radiko
du	dua	10,cifero
parto	bahagian,kata akar	10,radiko
sukceso	berjaya,kata akar	10,radiko
iu	seseorang	10,tabelvorto
ideo		10,novaj
tro	terlalu banyak	10,adverbo
ec	kuali abstrak	10,sufikso
reala	benar,kata akar	10,radiko
silento	senyap,kata akar	10,radiko
daŭri	menyambung,kata akar	10,radiko
nu	ah	10,interjekcio
minuto	minit,kata akar	10,radiko
telefono	telefon,kata akar	10,radiko
viziti	lawat,kata akar	10,radiko
dolĉa	manis,kata akar	10,radiko
atenti	memberi perhatian, kata akar	10,radiko
dika	tebal,kata akar, gemuk,kata akar	10,radiko
ŝanĝi	tukar,kata akar	10,radiko
opinii	pendapat,kata akar	10,radiko
sen	tanpa	10,prepozicio
sola	bersendirian,kata akar	10,radiko
Veneci	Venice,kata akar	11,radiko
Sankt-Mark	Saint Marcus	11,nomo
placo	tempat,kata akar	11,radiko
milito	perang,kata akar	11,radiko
maro	laut,kata akar	11,radiko
ŝipo	kapal laut,kata akar	11,radiko
gondolo	gondola,kata akar	11,radiko
movi	gerak,kata akar	11,radiko
mezo	tengah,kata akar	11,radiko
proksima	dekat,kata akar	11,radiko
granda	besar,kata akar	11,radiko
oni	sesiapa	11,pronomo
facila	senang,kata akar	11,radiko
lumo	cahaya,kata akar	11,radiko
flanko	tepi,kata akar	11,radiko
Stefan	Stephen	11,nomo
krii	menjerit,kata akar	11,radiko
turko	Turki,kata akar	11,radiko
renkonti	jumpa,kata akar	11,radiko
sekvi	ikut,kata akar	11,radiko
Pietro	Pietro	11,nomo
koni	kenal,kata akar	11,radiko
akvo	air, kata akar	11,radiko
tiel	begini	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	ambil,kata akar	11,radiko
estro	ketua	11,sufikso
preskaŭ	hampir	11,adverbo
morti	mati,kata akar	11,radiko
grava	penting,kata akar	11,radiko
Ĝino	Ĝino	11,nomo
halti	menghentikan,kata akar	11,radiko
apud	dekat	11,prepozicio
dek	sepuluh	11,cifero
jaro	tahun,kata akar	11,radiko
koloro	warna,kata akar	11,radiko
Jakopo	Yakop	11,nomo
tial	untuk alasan itu	11,tabelvorto
timi	takut,kata akar	11,radiko
sendi	hantar,kata akar	11,radiko
doĝo	doge,kata akar	11,radiko
bezoni	memerlu,kata akar	11,radiko
pagi	bayar,kata akar	11,radiko
er	serpihan, sebahagian kecil, partikle	11,sufikso
afero	perkara, kata akar	11,radiko
se	jika	11,konjunkcio
pano	roti,kata akar	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	hingga	11,prepozicio
S-ro	Sinjoro – Encik	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	berat,kata akar	12,radiko
larĝa	lebar,kata akar	12,radiko
korpo	badan,kata akar	12,radiko
aspekto	kelihatan ,kata akar, aspek, kata akar	12,radiko
rolo	peranan,kata akar	12,radiko
fakto	fakta,kata akar	12,radiko
respekti	hormat,kata akar	12,radiko
kontenta	puas,kata akar	12,radiko
ofte	selalu,kata akar	12,radiko
utila	kegunaan,kata akar	12,radiko
prezenti	mempekenalkan,kata akar	12,radiko
ĝeni	kacau,kata akar	12,radiko
nokto	malam,kata akar	12,radiko
arbo	pokok, kata akar	12,radiko
ĉefo	ketua,kata akar	12,radiko
vojo	jalan,kata akar	12,radiko
ekster	di luar	12,prepozicio
sovaĝa	liar,kata akar	12,radiko
bruo	bunyian,kata akar	12,radiko
krom	di samping itu, sebagai tambhan kepada	12,prepozicio
tuŝi	sentuh,kata akar	12,radiko
naturo	alam semula jadi,kata akar	12,radiko
