Marko	Marek	1,nomo
lakto	mléko	10,radiko
necesa	potřebovat	10,radiko
anstataŭ	namísto	10,prepozicio
intereso	zajímat se	10,radiko
ekskurso	výlet	10,radiko
klubo	klub	10,radiko
ĵeti	hodit	10,radiko
ia	nějaký, jakýsi	10,tabelvorto
uj	nádoba, strom, stát	10,sufikso
ĝusta	správně	10,radiko
for	pryč	10,prefikso
inter	mezi	10,prepozicio
sama	stejně	10,radiko
fojo	krát	10,radiko
rajti	smět, mít právo	10,radiko
proponi	nabídka	10,radiko
du	dva	10,cifero
parto	část	10,radiko
sukceso	úspěch	10,radiko
iu	někdo, kdosi	10,tabelvorto
ideo	myšlenka, nápad	10,novaj
tro	příliš	10,adverbo
ec	vlastnost	10,sufikso
reala	skutečný	10,radiko
silento	tiše	10,radiko
daŭri	pokračovat	10,radiko
nu	na	10,interjekcio
minuto	minuta	10,radiko
telefono	telefon	10,radiko
viziti	navštívit	10,radiko
dolĉa	sladké	10,radiko
atenti	dávat pozor	10,radiko
dika	tlustý	10,radiko
ŝanĝi	měnit	10,radiko
opinii	názor	10,radiko
sen	bez, beze	10,prepozicio
sola	sám	10,radiko
Veneci	Venécie	11,radiko
Sankt-Mark	Svatý Marek	11,nomo
placo	náměstí	11,radiko
milito	válka	11,radiko
maro	moře	11,radiko
ŝipo	loď	11,radiko
gondolo	gondola	11,radiko
movi	pohyb	11,radiko
mezo	střed	11,radiko
proksima	blízko	11,radiko
granda	velký	11,radiko
oni	neurčité zájmeno	11,pronomo
facila	jednoduchý	11,radiko
lumo	světlo	11,radiko
flanko	strana	11,radiko
Stefan	Štefan	11,nomo
krii	křičet	11,radiko
turko	Turek	11,radiko
renkonti	potkat	11,radiko
sekvi	následovat	11,radiko
Pietro	Petr	11,nomo
koni	znát	11,radiko
akvo	voda	11,radiko
tiel	tak	11,tabelvorto
Ĝorĝo	Jiří	11,nomo
preni	vzít	11,radiko
estro	vedoucí	11,sufikso
preskaŭ	skoro, téměř	11,adverbo
morti	zemřít	11,radiko
grava	důležitý	11,radiko
Ĝino	Gin	11,nomo
halti	zastavit	11,radiko
apud	vedle	11,prepozicio
dek	deset	11,cifero
jaro	rok	11,radiko
koloro	barva	11,radiko
Jakopo	Jakub	11,nomo
tial	proto	11,tabelvorto
timi	strach	11,radiko
sendi	poslat	11,radiko
doĝo	dóže	11,radiko
bezoni	potřebovat	11,radiko
pagi	platit	11,radiko
er	část	11,sufikso
afero	věc, záležitost	11,radiko
se	když	11,konjunkcio
pano	chléb	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	až k, až do	11,prepozicio
S-ro	Pan - P.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	těžké	12,radiko
larĝa	široký	12,radiko
korpo	tělo	12,radiko
aspekto	vypadat, vzhled	12,radiko
rolo	role	12,radiko
fakto	fakt	12,radiko
respekti	respektovat	12,radiko
kontenta	spokojený	12,radiko
ofte	často	12,radiko
utila	užitečný	12,radiko
prezenti	představit	12,radiko
ĝeni	obtěžovat	12,radiko
nokto	noc	12,radiko
arbo	strom	12,radiko
ĉefo	šéf	12,radiko
vojo	cesta	12,radiko
ekster	mimo	12,prepozicio
sovaĝa	divoký	12,radiko
bruo	hluk	12,radiko
krom	kromě, mimo	12,prepozicio
tuŝi	dotýkat se	12,radiko
naturo	příroda	12,radiko
ĝenerali	obecný	12,radiko
seki	suchý	12,radiko
paŝi	krok	12,radiko
vivi	žít	12,radiko
dolori	bolest, bolet	12,radiko
agrabla	příjemný	12,radiko
ju	čím (ve vazbě čím ... tím)	12,partikulo
kastelo	hrad	12,radiko
des	tím (ve vazbě čím ... tím)	12,partikulo
Adriano	Adriana	12,nomo
viro	muž	12,radiko
kapabla	schopný	12,radiko
industrio	průmysl	12,radiko
polico	policie	12,radiko
persono	osoba	12,radiko
simila	podobný	12,radiko
lasta	poslední	12,radiko
laŭta	hlasitý	12,radiko
orelo	ucho	12,radiko
momento	moment	12,radiko
ambaŭ	oba	12,adverbo
direkti	směr	12,radiko
zorgi	starost	12,radiko
situacio	situace	12,radiko
branĉo	obor, větev	12,radiko
rekta	přímý	12,radiko
besto	zvíře	12,radiko
promeni	procházet se	12,radiko
kavo	jeskyně	12,radiko
odoro	vůně	12,radiko
preta	připraveno	12,radiko
ajn	jakýkoliv, libovolný	12,partikulo
efektiva	opravdu, skutečně	12,radiko
miri	divit se	12,radiko
koro	srdce	12,radiko
ŝajni	zdát se	12,radiko
supri	nad	12,radiko
buŝo	ústa	12,radiko
provi	zkusit	12,radiko
kapti	chytit	12,radiko
lampo	lampa	12,radiko
paco	mír	12,radiko
formo	forma	12,radiko
teni	držet	12,radiko
sono	znít	12,radiko
aŭtoritato	autorita	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	odbýt	12,radiko
klara	jasný	12,radiko
eĉ	ba i, dokonce	12,adverbo
tono	tón	12,radiko
ha	ha	12,interjekcio
bieno	statek, země	12,radiko
grafo	hrabě	12,radiko
monto	hora	12,radiko
kalva	plešatý	12,radiko
inviti	pozvat	12,radiko
peti	žádat	12,radiko
teroro	teror	12,radiko
kontroli	kontrolovat	12,radiko
ĉirkaŭ	kolem, okolo, asi	12,prepozicio
akcepti	přijmout	12,radiko
perdi	ztratit	12,radiko
