Marko	Marko	1,nomo
ec	kualitas abstrak	10,sufikso
reala	asli	10,radiko
silento	senyap, diam	10,radiko
daŭri	lanjut	10,radiko
nu	yah	10,interjekcio
minuto	menit	10,radiko
telefono	telepon	10,radiko
viziti	kunjung	10,radiko
dolĉa	manis	10,radiko
atenti	perhatian	10,radiko
dika	tebal, gemuk	10,radiko
ŝanĝi	ubah	10,radiko
opinii	opini, pendapat	10,radiko
sen	tanpa	10,prepozicio
sola	sendiri	10,radiko
Veneci	Venezia	11,radiko
Sankt-Mark	Santo Markus	11,nomo
placo	tempat	11,radiko
milito	perang	11,radiko
maro	laut	11,radiko
ŝipo	kapal	11,radiko
gondolo	gondola	11,radiko
movi	bergerak, pindah	11,radiko
mezo	tengah	11,radiko
proksima	dekat	11,radiko
granda	besar, hebat	11,radiko
oni	seseorang, orang	11,pronomo
facila	gampang	11,radiko
lumo	cahaya	11,radiko
flanko	sisi	11,radiko
Stefan	Stephen	11,nomo
krii	teriak	11,radiko
turko	Turki	11,radiko
renkonti	menemui	11,radiko
sekvi	mengikuti	11,radiko
Pietro	Pietro	11,nomo
koni	tahu, kenal	11,radiko
akvo	air	11,radiko
tiel	seperti itu	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	ambil	11,radiko
estro	kepala, pemimpin	11,sufikso
preskaŭ	hampir	11,adverbo
morti	mati	11,radiko
grava	penting	11,radiko
Ĝino	Ĝino	11,nomo
halti	berhenti	11,radiko
apud	di dekat, di samping	11,prepozicio
dek	sepuluh	11,cifero
jaro	tahun	11,radiko
koloro	warna	11,radiko
Jakopo	Jacob	11,nomo
tial	untuk alasan itu	11,tabelvorto
timi	takut	11,radiko
sendi	kirim	11,radiko
doĝo	doge	11,radiko
bezoni	butuh	11,radiko
pagi	bayar	11,radiko
er	bagian terkecil, partikel	11,sufikso
afero	hal	11,radiko
se	jika	11,konjunkcio
pano	roti	11,radiko
Don Kamilo	Don Kamilus	11,nomo
ĝis	sampai	11,prepozicio
S-ro	Tuan - Tn., Bapak - Bpk.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	berat	12,radiko
larĝa	luas	12,radiko
korpo	badan, tubuh	12,radiko
aspekto	tampak	12,radiko
rolo	peran	12,radiko
fakto	fakta	12,radiko
respekti	menghargai	12,radiko
