Marko	Марко	1,nomo
jaro	год	11,radiko
koloro	цвет	11,radiko
Jakopo	Якоб	11,nomo
tial	потому	11,tabelvorto
timi	страх	11,radiko
sendi	отправлять	11,radiko
doĝo	дож	11,radiko
bezoni	нуждаться	11,radiko
pagi	платить	11,radiko
er	часть, фрагмент	11,sufikso
afero	дело	11,radiko
se	если	11,konjunkcio
pano	хлеб	11,radiko
Don Kamilo	Дон Камило	11,nomo
ĝis	до	11,prepozicio
S-ro	Sinjoro — Господин	12,mallongigo
Pipelbom	Пипельбом	12,nomo
peza	тяжёлый	12,radiko
larĝa	широкий, обширный	12,radiko
korpo	тело	12,radiko
aspekto	look, seem	12,radiko
rolo	роль	12,radiko
fakto	факт	12,radiko
respekti	почтение, уважение	12,radiko
kontenta	удовлетворённый, довольный	12,radiko
ofte	часто	12,radiko
utila	полезный	12,radiko
prezenti	представить	12,radiko
ĝeni	беспокоить, стеснять	12,radiko
nokto	ночь	12,radiko
arbo	дерево	12,radiko
ĉefo	главный	12,radiko
vojo	путь	12,radiko
ekster	вне, снаружи	12,prepozicio
sovaĝa	дикий	12,radiko
bruo	шум	12,radiko
krom	кроме	12,prepozicio
tuŝi	трогать	12,radiko
naturo	природа	12,radiko
ĝenerali	общий	12,radiko
seki	сухой	12,radiko
paŝi	шаг	12,radiko
vivi	жить	12,radiko
dolori	боль, доставлять боль	12,radiko
agrabla	приятный	12,radiko
ju	чем (больше, меньше)	12,partikulo
kastelo	замок	12,radiko
des	тем (больше, меньше)	12,partikulo
Adriano	Адриано	12,nomo
viro	мужчина	12,radiko
kapabla	способный	12,radiko
industrio	индустрия	12,radiko
polico	полиция	12,radiko
persono	персона, лицо (особь), личность	12,radiko
simila	похожий	12,radiko
lasta	последний	12,radiko
laŭta	громкий	12,radiko
orelo	ухо	12,radiko
momento	мгновение, момент	12,radiko
ambaŭ	оба, обе	12,adverbo
direkti	направление	12,radiko
zorgi	забота	12,radiko
situacio	положение, ситуация	12,radiko
branĉo	ветка	12,radiko
rekta	прямой	12,radiko
besto	зверь	12,radiko
promeni	гулять, прогуливаться	12,radiko
kavo	яма	12,radiko
odoro	пахнуть	12,radiko
preta	готовый	12,radiko
ajn	любой	12,partikulo
efektiva	действительно	12,radiko
miri	удивляться	12,radiko
koro	сердце	12,radiko
ŝajni	казаться, представляться	12,radiko
supri	наверху	12,radiko
buŝo	морда	12,radiko
provi	пробовать	12,radiko
kapti	ловить	12,radiko
lampo	лампа	12,radiko
paco	мир	12,radiko
formo	форма	12,radiko
teni	держать	12,radiko
sono	звук	12,radiko
aŭtoritato	авторитет	12,radiko
nuuuu	нуууу	12,interjekcio
eee	эээ	12,interjekcio
fuŝi	делать небрежно, кое-как	12,radiko
klara	ясный, чёткий	12,radiko
eĉ	даже	12,adverbo
tono	тон	12,radiko
ha	ха	12,interjekcio
bieno	имение, поместиье	12,radiko
grafo	граф	12,radiko
monto	гора	12,radiko
kalva	лысый	12,radiko
inviti	пригласить	12,radiko
peti	просить	12,radiko
teroro	террор	12,radiko
kontroli	проверять, контроллировать	12,radiko
ĉirkaŭ	вокруг, около (о количестве, времени)	12,prepozicio
akcepti	принимать, принять	12,radiko
perdi	потерять	12,radiko
