Marko	Marco	1,nomo
dika	grasso, spesso	10,radiko
ŝanĝi	cambiare	10,radiko
opinii	opinione	10,radiko
sen	senza	10,prepozicio
sola	solo	10,radiko
Veneci	Veneiza	11,radiko
Sankt-Mark	San Marco	11,nomo
placo	piazza	11,radiko
milito	guerra	11,radiko
maro	mare	11,radiko
ŝipo	nave	11,radiko
gondolo	gondola	11,radiko
movi	muovere	11,radiko
mezo	mezzo	11,radiko
proksima	vicino	11,radiko
granda	grande	11,radiko
oni	si (pronome impersonale)	11,pronomo
facila	facile	11,radiko
lumo	luce	11,radiko
flanko	lato	11,radiko
Stefan	Stefano	11,nomo
krii	gridare	11,radiko
turko	Turco	11,radiko
renkonti	incontrare	11,radiko
sekvi	seguire	11,radiko
Pietro	Pietro	11,nomo
koni	conoscere, sapere	11,radiko
akvo	acqua	11,radiko
tiel	così	11,tabelvorto
Ĝorĝo	Giorgio	11,nomo
preni	prendere	11,radiko
estro	capo	11,sufikso
preskaŭ	quasi, circa	11,adverbo
morti	morire	11,radiko
grava	important	11,radiko
Ĝino	Gino	11,nomo
halti	fermare	11,radiko
apud	accanto	11,prepozicio
dek	dieci	11,cifero
jaro	anno	11,radiko
koloro	colore	11,radiko
Jakopo	Jacopo	11,nomo
tial	perciò, per questa ragione	11,tabelvorto
timi	paura	11,radiko
sendi	spedire, mandare	11,radiko
doĝo	doge	11,radiko
bezoni	essere necessario	11,radiko
pagi	pagare	11,radiko
er	una parte del tutto	11,sufikso
afero	cosa	11,radiko
se	se	11,konjunkcio
pano	pane	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	fino a	11,prepozicio
S-ro	Signor - Sig.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	pesante	12,radiko
larĝa	largo	12,radiko
korpo	corpo	12,radiko
aspekto	sembrare, apparire	12,radiko
rolo	ruolo	12,radiko
fakto	fatto	12,radiko
respekti	rispettare	12,radiko
kontenta	soddisfatto	12,radiko
ofte	spesso	12,radiko
utila	utile	12,radiko
prezenti	presentare	12,radiko
ĝeni	disturbare, infastidire	12,radiko
nokto	notte	12,radiko
arbo	albero	12,radiko
ĉefo	capo	12,radiko
vojo	via	12,radiko
ekster	fuori	12,prepozicio
sovaĝa	selvaggio, feroce	12,radiko
bruo	rumore	12,radiko
krom	oltre a	12,prepozicio
tuŝi	toccare	12,radiko
naturo	natura	12,radiko
ĝenerali	generale	12,radiko
seki	secco	12,radiko
