Marko	Marko	1,nomo
Ĝorĝo	Jurij	11,nomo
preni	vzeti	11,radiko
estro	šef, vodja	11,sufikso
preskaŭ	skoraj	11,adverbo
morti	umreti	11,radiko
grava	pomemben	11,radiko
Ĝino	Gino	11,nomo
halti	ustaviti se	11,radiko
apud	poleg	11,prepozicio
dek	deset	11,cifero
jaro	leto	11,radiko
koloro	barva	11,radiko
Jakopo	Jakob	11,nomo
tial	zato	11,tabelvorto
timi	strah	11,radiko
sendi	poslati	11,radiko
doĝo	dož	11,radiko
bezoni	potrebovati	11,radiko
pagi	plačati	11,radiko
er	košček	11,sufikso
afero	zadeva	11,radiko
se	če	11,konjunkcio
pano	kruh	11,radiko
Don Kamilo	Don Kamilo	11,nomo
ĝis	do	11,prepozicio
S-ro	gospod	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	težko	12,radiko
larĝa	široko	12,radiko
korpo	telo	12,radiko
aspekto	pogled, videz	12,radiko
rolo	vloga	12,radiko
fakto	dejstvo	12,radiko
respekti	spoštovati	12,radiko
kontenta	zadovoljen	12,radiko
ofte	pogosto	12,radiko
utila	koristno	12,radiko
prezenti	pokazati	12,radiko
ĝeni	motiti	12,radiko
nokto	noč	12,radiko
arbo	drevo	12,radiko
ĉefo	šef	12,radiko
vojo	pot	12,radiko
ekster	izven	12,prepozicio
sovaĝa	divji	12,radiko
bruo	hrup	12,radiko
krom	razne	12,prepozicio
tuŝi	dotakniti se	12,radiko
naturo	narava	12,radiko
ĝenerali	splošno	12,radiko
seki	suh	12,radiko
paŝi	korak	12,radiko
vivi	živeti	12,radiko
dolori	bolečina	12,radiko
agrabla	ugodno	12,radiko
ju	kot	12,partikulo
kastelo	grad, dvorec	12,radiko
des	kot	12,partikulo
Adriano	Adrian	12,nomo
viro	moški	12,radiko
kapabla	sposoben, zmožen	12,radiko
industrio	industrija	12,radiko
polico	policija	12,radiko
persono	oseba	12,radiko
simila	podobno	12,radiko
lasta	zadnje	12,radiko
laŭta	glasno	12,radiko
orelo	uho	12,radiko
momento	trenutek	12,radiko
ambaŭ	oba	12,adverbo
direkti	smer	12,radiko
zorgi	skrbeti	12,radiko
situacio	situacija	12,radiko
branĉo	veja	12,radiko
rekta	smer	12,radiko
besto	žival	12,radiko
promeni	sprehajati se	12,radiko
kavo	jama	12,radiko
odoro	vonj	12,radiko
preta	pripravljen	12,radiko
ajn	karkoli	12,partikulo
efektiva	dejansko	12,radiko
miri	čuditi	12,radiko
koro	srce	12,radiko
ŝajni	zdeti se	12,radiko
supri	zgoraj	12,radiko
buŝo	usta	12,radiko
provi	poskusiti	12,radiko
kapti	ujeti	12,radiko
lampo	luč	12,radiko
paco	mir	12,radiko
formo	oblika	12,radiko
teni	držati	12,radiko
sono	zveneti	12,radiko
aŭtoritato	oblast	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	pokvariti	12,radiko
klara	jasno	12,radiko
eĉ	celo	12,adverbo
tono	ton	12,radiko
ha	ha	12,interjekcio
bieno	posestvo, pokrajina	12,radiko
grafo	grof	12,radiko
monto	gora	12,radiko
kalva	plešast	12,radiko
inviti	povabiti	12,radiko
peti	prositi	12,radiko
teroro	teror	12,radiko
kontroli	preveriti	12,radiko
ĉirkaŭ	okoli	12,prepozicio
akcepti	sprejeti	12,radiko
perdi	izgubiti	12,radiko
