Marko	Marko	1,nomo
ŝanĝi	değiştirmek	10,radiko
opinii	fikir	10,radiko
sen	olmaksızın, -sız, -siz vs	10,prepozicio
sola	yalnız	10,radiko
Veneci	Venedik	11,radiko
Sankt-Mark	Aziz Marko	11,nomo
placo	yer	11,radiko
milito	savaş	11,radiko
maro	deniz	11,radiko
ŝipo	gemi	11,radiko
gondolo	gondol	11,radiko
movi	hareket etmek	11,radiko
mezo	orta	11,radiko
proksima	yakın	11,radiko
granda	büyük	11,radiko
oni	birisi (belirsiz şahıs zamiri)	11,pronomo
facila	kolay	11,radiko
lumo	parlak	11,radiko
flanko	taraf	11,radiko
Stefan	Stephen	11,nomo
krii	çığlık atmak	11,radiko
turko	Türkçe	11,radiko
renkonti	tanışmak, karşılaşmak	11,radiko
sekvi	takip etmek	11,radiko
Pietro	Pietro	11,nomo
koni	bilmek	11,radiko
akvo	su	11,radiko
tiel	bu şekilde	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	almak	11,radiko
estro	şef, baş, yönetici	11,sufikso
preskaŭ	hemen hemen, yaklaşık olarak	11,adverbo
morti	ölmek	11,radiko
grava	önemli	11,radiko
Ĝino	Ĝina	11,nomo
halti	durdurmak	11,radiko
apud	yanında	11,prepozicio
dek	on	11,cifero
jaro	yıl	11,radiko
koloro	renk	11,radiko
Jakopo	Jacob	11,nomo
tial	bu sebepten dolayı	11,tabelvorto
timi	korku	11,radiko
sendi	iletmek	11,radiko
doĝo	eski venedik başkanı	11,radiko
bezoni	ihtiyaç duymak	11,radiko
pagi	ödemek	11,radiko
er	küçük parça, partikül	11,sufikso
afero	mesele, konu, şey	11,radiko
se	eğer	11,konjunkcio
pano	ekmek	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	-e kadar	11,prepozicio
S-ro	Bay, Bey	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	ağır	12,radiko
larĝa	geniş	12,radiko
korpo	beden	12,radiko
aspekto	görünmek, gözükmek	12,radiko
rolo	rol	12,radiko
fakto	aslında	12,radiko
respekti	saygı duymak	12,radiko
kontenta	tatmin olmak	12,radiko
ofte	sıkça	12,radiko
utila	kullanışlı, faydalı	12,radiko
prezenti	sunmak	12,radiko
ĝeni	can sıkmak, rahatsızlık vermek	12,radiko
nokto	gece	12,radiko
arbo	ağaç	12,radiko
ĉefo	patron	12,radiko
vojo	yol	12,radiko
ekster	dışında	12,prepozicio
sovaĝa	vahşi, yabani	12,radiko
bruo	gürültü	12,radiko
krom	hariç, ilaveten	12,prepozicio
tuŝi	dokunmak	12,radiko
naturo	doğa	12,radiko
ĝenerali	genel	12,radiko
seki	kuru	12,radiko
paŝi	adım, adımlamak	12,radiko
vivi	yaşamak	12,radiko
dolori	ağrı, acı, acımak	12,radiko
agrabla	hoş	12,radiko
ju	o kadar (fazla, az)	12,partikulo
kastelo	kale	12,radiko
