Marko	Márk	1,nomo
viro	ember	12,radiko
kapabla	képes	12,radiko
industrio	ipar	12,radiko
polico	rendőrség	12,radiko
persono	személy	12,radiko
simila	hasonló	12,radiko
lasta	utolsó	12,radiko
laŭta	hangos	12,radiko
orelo	fül	12,radiko
momento	pillanat	12,radiko
ambaŭ	mindkettő	12,adverbo
direkti	igazgat	12,radiko
zorgi	gond	12,radiko
situacio	szituáció	12,radiko
branĉo	ág	12,radiko
rekta	egyenes	12,radiko
besto	állat	12,radiko
promeni	sétál	12,radiko
kavo	pince	12,radiko
odoro	szag	12,radiko
preta	kész	12,radiko
ajn	akár, bár	12,partikulo
efektiva	tényleges	12,radiko
miri	csodálkozik	12,radiko
koro	szív	12,radiko
ŝajni	tűnik	12,radiko
supri	felső	12,radiko
buŝo	száj	12,radiko
provi	próbál	12,radiko
kapti	elfog, megfog	12,radiko
lampo	lámpa	12,radiko
paco	béke	12,radiko
formo	forma	12,radiko
teni	tart	12,radiko
sono	hang	12,radiko
aŭtoritato	hatalom	12,radiko
nuuuu	hát	12,interjekcio
eee	ööö	12,interjekcio
fuŝi	ront	12,radiko
klara	világos, tiszta	12,radiko
eĉ	még ... is	12,adverbo
tono	hangnem	12,radiko
ha	ah	12,interjekcio
bieno	telek	12,radiko
grafo	gróf	12,radiko
monto	hegy	12,radiko
kalva	kopasz	12,radiko
inviti	meghív	12,radiko
peti	kér	12,radiko
teroro	terror	12,radiko
kontroli	ellenőriz	12,radiko
ĉirkaŭ	körül, körülbelül	12,prepozicio
akcepti	fogad	12,radiko
perdi	veszt	12,radiko
