Marko	Marek	1,nomo
sola	sám	10,radiko
Veneci	Benátky	11,radiko
Sankt-Mark	Svätý Marek	11,nomo
placo	námestie	11,radiko
milito	vojna	11,radiko
maro	more	11,radiko
ŝipo	loď	11,radiko
gondolo	gondola	11,radiko
movi	pohyb	11,radiko
mezo	stred	11,radiko
proksima	blízky	11,radiko
granda	veľký	11,radiko
oni	neurčité zámeno	11,pronomo
facila	jednoduchý	11,radiko
lumo	svetlo	11,radiko
flanko	bok, strana	11,radiko
Stefan	Štefan	11,nomo
krii	kričať	11,radiko
turko	Turek	11,radiko
i		11,
sekvi	nasledovať	11,radiko
Pietro	Peter Pietro	11,nomo
koni	poznať, vedieť	11,radiko
akvo	voda	11,radiko
tiel	tak	11,tabelvorto
Ĝorĝo	Juraj	11,nomo
preni	vziať	11,radiko
estro	vedúci	11,sufikso
preskaŭ	skoro, takmer	11,adverbo
morti	zomrieť	11,radiko
grava	dôležitý	11,radiko
Ĝino	Gin	11,nomo
halti	zastaviť	11,radiko
apud	vedľa	11,prepozicio
dek	desať	11,cifero
jaro	rok	11,radiko
koloro	farba	11,radiko
Jakopo	Jakub	11,nomo
tial	preto	11,tabelvorto
timi	strach	11,radiko
sendi	poslať	11,radiko
doĝo	dóža	11,radiko
bezoni	potrebovať	11,radiko
pagi	platiť	11,radiko
er	časť celku	11,sufikso
afero	vec, záležitosť	11,radiko
se	ak, keby	11,konjunkcio
pano	chlieb	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	až k, až do	11,prepozicio
S-ro	Pán - P.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	ťažký	12,radiko
larĝa	široký	12,radiko
korpo	telo	12,radiko
aspekto	vyzerať, vzhľad	12,radiko
rolo	rola	12,radiko
fakto	fakt	12,radiko
respekti	rešpektovať	12,radiko
kontenta	spokojný	12,radiko
ofte	často	12,radiko
utila	užitočný	12,radiko
prezenti	predstaviť, predviesť, navrhnúť	12,radiko
ĝeni	obťažovať	12,radiko
nokto	noc	12,radiko
arbo	strom	12,radiko
ĉefo	šéf	12,radiko
vojo	cesta	12,radiko
ekster	mimo	12,prepozicio
sovaĝa	divoký	12,radiko
bruo	hluk	12,radiko
krom	okrem, mimo	12,prepozicio
