Marko	Marcos	1,nomo
ju	tanto (mais, menos)	12,partikulo
kastelo	castelo	12,radiko
des	quanto (mais, menos)	12,partikulo
Adriano	Adriano	12,nomo
viro	homem, masculino	12,radiko
kapabla	capaz	12,radiko
industrio	indústria, industrial	12,radiko
polico	polícia	12,radiko
persono	pessoa	12,radiko
simila	semelhante	12,radiko
lasta	último, última	12,radiko
laŭta	alto (som), alta (música)	12,radiko
orelo	orelha	12,radiko
momento	momento	12,radiko
ambaŭ	ambos	12,adverbo
direkti	direção, dirigir	12,radiko
zorgi	cuidado, cuidar	12,radiko
situacio	situação	12,radiko
branĉo	ramo, galho	12,radiko
rekta	reto, direto	12,radiko
besto	animal, bicho	12,radiko
promeni	passear, passeio	12,radiko
kavo	caverna, cavidade	12,radiko
odoro	cheiro, exalar cheiro	12,radiko
preta	pronto, pronta	12,radiko
ajn	qualquer	12,partikulo
efektiva	na realidade	12,radiko
miri	admirar-se	12,radiko
koro	coração, cordial	12,radiko
ŝajni	parecer	12,radiko
supri	acima	12,radiko
buŝo	boca	12,radiko
provi	tentar	12,radiko
kapti	pegar	12,radiko
lampo	lâmpada	12,radiko
paco	paz	12,radiko
o		12,
teni	segurar	12,radiko
sono	soar, som	12,radiko
aŭtoritato	autoridade, autorizado	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	bagunçar, bagunçado	12,radiko
klara	claro, clara	12,radiko
eĉ	até, mesmo	12,adverbo
tono	tom	12,radiko
ha	ha	12,interjekcio
bieno	fazenda	12,radiko
grafo	conde	12,radiko
monto	montanha	12,radiko
kalva	calvo, calva	12,radiko
inviti	convidar, convite	12,radiko
peti	pedir	12,radiko
teroro	terror	12,radiko
kontroli	checar, verificar, controlar	12,radiko
ĉirkaŭ	ao redor, cerca de	12,prepozicio
akcepti	aceitar	12,radiko
perdi	perder	12,radiko
